지역,진출국가,관할무역관,기업명(국문),기업명(영문),주소,위도,경도,우편번호,진출형태,투자형태,모기업명,업종 대분류,업종 중분류,,,,,,,,,,,,
동남아대양주,베트남,호치민,지비비나,"GB VINA CO., LTD.","KHU PHỐ 7, PHƯỜNG UYÊN HƯNG, THỊ XÃ TÂN UYÊN, TỈNH BÌNH DƯƠNG, VIỆT NAM",10.9521670911674,106.849631307251,700000,생산법인,단독투자,,C. 제조업,섬유제품 제조업 (의복 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,에이씨아이 플라스틱,"ACI PLASTIC CO., LTD.","9 MY GIANG, ROAD 1B, TAN PHONG WARD, DIST. 7, HCMC",10.732989895378,106.702486553166,700000,서비스법인,단독투자,,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,SK 에너지 호치민 대표사무소,"SK ENERGY CO.,LTD. (REP. OFFICE IN HCMC)","27TH FL., BITEXCO FINANCIAL TOWER, 2 HAI TRIEU, BEN NGHE WARD, DIST. 1, HCMC",10.8391727352406,106.672055235837,700000,서비스법인,단독투자,SK에너지(주),G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,트리녹스 사이공,"TRINOX SAIGON CO., LTD.","ROAD 3B, NHON TRACH 1 IP, HIEP PHUOC TOWN, NHON TRACH DIST., DONG NAI, VIETNAM",10.7442406649571,106.93847719017,700000,생산법인,.,,C. 제조업,기타 기계 및 장비 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,(주)강동건설,"KANG DONG CONSTRUCTION CO., LTD.","GROUP 10, SONG VINH HAMLET, TAN PHUOC WARD, PHU MY TOWN, BA RIA-VUNG TAU",10.7425323381048,106.933284175548,700000,서비스법인,단독투자,강동건설,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,성광,SUNG GWANG VINA,"LOT A17, ROAD 1, UYEN HUNG INDUSTRIAL CLUSTER, UYEN HUNG WARD, TAN UYEN TOWN, BINH DUONG, VIETNAM",11.0793003977028,106.77817521095,700000,생산법인,단독투자,,C. 제조업,기타 제품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,푸드 케이,FOOD-K,"FACTORY A1, LOT S-8, EXTENDED LONG HAU IP, TAN TAP-LONG HAU ST., LONG HAU COMMUNE, CAN GIUOC DIST., LONG AN",10.6314423148965,106.714599412795,700000,생산법인,합작투자,,C. 제조업,식료품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,신성(주),"SINH SUNG CO., LTD.","LOT A-4D1-CN, MY PHUOC 3 IP, MY PHUOC WARD, BEN CAT TOWN, BINH DUONG, VIETNAM",11.1443744024085,106.632890667964,700000,서비스법인,단독투자,신성이엔지,F. 건설업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,기연비나,"GIYEON VINA MACHINERY CO., LTD.","ROAD N1, NHON TRACH TEXTILE IP, NHON TRACH DIST., DONG NAI, VIETNAM",10.7069129987758,106.925726280262,700000,생산법인,단독투자,기연정공,C. 제조업,기타 기계 및 장비 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,SNP 화장품,"SNP COSMETICS CO., LTD.","5TH FL., 90 TRAN DINH XU ST., CO GIANG WARD, DIST. 1, HCMC, VIETNAM",10.7406461799487,106.676987351427,700000,서비스법인,단독투자,,G. 도매 및 소매업,,,,,,,,,,,,,
동남아대양주,베트남,호치민,필 인터파마,"PHIL INTER PHARMA CO., LTD.","NO. 20, HUU NGHI BLV., VSIP, THUAN AN CITY, BINH DUONG",10.925032045835,106.719641020744,700000,생산법인,단독투자,,C. 제조업,화학 물질 및 화학제품 제조업 (의약품 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,씨제이-에스씨,CJ-SC GLOBAL MILLING LLC,"MY XUAN B1-TIEN HUNG IP, TAN THANH DIST., BA RIA-VUNG TAU, VIETNAM",10.6434251516878,107.055416964919,700000,생산법인,합작투자,CJ제일제당,C. 제조업,식료품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,키토월드유한공사,"CHITOWORLD CO., LTD.","LOT 27, ROAD 2, TAN TAO IP, BINH TAN DIST., HCMC, VIETNAM",10.7418091245039,106.593601168618,700000,생산법인,.,,C. 제조업,식료품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,유니크비나,"UNIQUE VINA CO., LTD.","90,2A TRAN THI CO ST., QUARTER 2, THOI AN WARD, DIST.12, HCMC, VIETNAM",10.9048607616705,106.647490268534,700000,생산법인,단독투자,,C. 제조업,섬유제품 제조업 (의복 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,디엔에스글로벌,"DNS GLOBAL CO., LTD.","ROAD 3, GIANG DIEN IP, GIANG DIEN COMMUNE, TRANG BOM DIST., DONG NAI, VIETNAM",10.9050897497447,106.983907610397,700000,생산법인,단독투자,DNS코리아,C. 제조업,섬유제품 제조업 (의복 제외),,,,,,,,,,,,
동남아대양주,베트남,호치민,두일 티피에스 비나,DOOIL TPS VINA,"LOT D1-CN, ROAD NA3, MY PHUOC 2 IP, BEN CAT TOWN, BINH DUONG, VIETNAM",11.1386410446769,106.616345795609,825590,생산법인,단독투자,(주)두일티피에스,C. 제조업,인쇄 및 기록매체 복제업,,,,,,,,,,,,
동남아대양주,베트남,호치민,아시아 크리에이티브 센터 비나,"ASIA CREATIVE CENTER CO., LTD.","32 D7, PHƯỚC LONG B, QUẬN 9, THÀNH PHỐ HỒ CHÍ MINH",10.7880417268487,106.700021695605,700000,서비스법인,단독투자,,"M. 전문, 과학 및 기술 서비스업",,,,,,,,,,,,,
동남아대양주,베트남,호치민,한일애프앤애프 비나,"HANIL F&F VINA CO., LTD.","D04, D05, SENOFFICE OFFICE AREA, L18-11-13, 18TH FLOOR, VINCOM CENTER DONG KHOI BUILDING, 72 LE THANH TON, BEN NGHE WARD, DISTRICT 1, HO CHI MINH CITY, VIETNAM",10.8131283641905,106.665637319149,700000,판매법인,단독투자,한일사료,C. 제조업,고무 및 플라스틱제품 제조업,,,,,,,,,,,,
동남아대양주,베트남,호치민,대전광역시 베트남사무소,DAEJEON METROPOLITAN CITY HCM OFFICE,"ROOM 1009B, 10TH FL., DIAMOND PLAZA, 34 LE DUAN ST., BEN NGHE WARD, DIST. 1, HCMC, VIETNAM",10.7809982998036,106.698683864921,700000,연락사무소,단독투자,,"O. 공공 행정, 국방 및 사회보장 행정",,,,,,,,,,,,,
